archivo,versiones,fecha,igual,historial
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/invitaciones/invitacion-generica/sections/recepcion-section/recepcion-section.component.ts,2,2026-07-15 00:25:45,False,/home/braudesdev/.config/Code/User/History/111f560d/tFgi.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/invitaciones/invitaciones.component.ts,1,2026-05-07 15:57:15,True,/home/braudesdev/.config/Code/User/History/19868497/rfVQ.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/landing/landing.component.html,1,2026-05-29 23:10:02,True,/home/braudesdev/.config/Code/User/History/-dd319ad/3sFA.html
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/recuperar-password/recuperar-password.component.html,1,2026-07-12 23:23:23,False,/home/braudesdev/.config/Code/User/History/76c26c63/gsP4.html
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/recuperar-password/recuperar-password.component.ts,1,2026-05-29 23:28:21,True,/home/braudesdev/.config/Code/User/History/-316cbec9/8wUB.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/registro-anfitrion/registro-anfitrion.component.html,1,2026-07-12 23:24:38,False,/home/braudesdev/.config/Code/User/History/-130af9fd/ITkD.html
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/registro-anfitrion/registro-anfitrion.component.ts,1,2026-05-29 23:17:17,True,/home/braudesdev/.config/Code/User/History/-1a203d29/60xe.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/components/validacion/validacion.component.html,1,2026-07-12 22:59:50,False,/home/braudesdev/.config/Code/User/History/-146b02bd/auVX.html
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/guards/anfitrion.guard.ts,1,2026-05-25 09:59:20,True,/home/braudesdev/.config/Code/User/History/77946a8c/7k5u.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/guards/auth.guard.ts,1,2026-05-25 09:59:39,True,/home/braudesdev/.config/Code/User/History/-2e646be2/4Ngb.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/models/invitado.model.ts,1,2026-05-07 15:51:14,True,/home/braudesdev/.config/Code/User/History/14c95a6e/F639.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/pages/mi-boda/mi-boda.component.css,17,2026-07-03 01:44:49,False,/home/braudesdev/.config/Code/User/History/8e618cf/VH5F.css
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/pages/mi-boda/mi-boda.component.html,7,2026-07-03 01:16:37,False,/home/braudesdev/.config/Code/User/History/13df4a5f/ShYu.html
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/pages/mi-boda/mi-boda.component.ts,11,2026-07-03 01:15:40,False,/home/braudesdev/.config/Code/User/History/-7f891cd/Imvd.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/services/auth.service.ts,2,2026-05-29 23:20:01,True,/home/braudesdev/.config/Code/User/History/449e63e/daxi.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/services/invitaciones.service.ts,4,2026-06-04 22:28:36,False,/home/braudesdev/.config/Code/User/History/196e026e/oDCw.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/app/services/invitados.service.ts,4,2026-05-08 01:52:04,True,/home/braudesdev/.config/Code/User/History/1efee523/yOJZ.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/environments/environment.prod.ts,1,2026-06-03 22:45:12,False,/home/braudesdev/.config/Code/User/History/727037af/81rD.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/environments/environment.ts,2,2026-07-12 22:49:08,False,/home/braudesdev/.config/Code/User/History/82dbba6/B6Ai.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/main.ts,4,2026-07-13 00:07:26,False,/home/braudesdev/.config/Code/User/History/-2eab9a6f/Urrl.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/src/styles.css,15,2026-06-04 23:30:20,False,/home/braudesdev/.config/Code/User/History/1919371a/rFgf.css
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/test-firebase.js,1,2026-06-03 22:45:58,True,/home/braudesdev/.config/Code/User/History/-45376d13/UAcc.js
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/test-firebase.ts,1,2026-06-03 22:46:05,True,/home/braudesdev/.config/Code/User/History/-45376bdd/bvd9.ts
/home/braudesdev/Documentos/practicasAngular/invitaciones-app/tsconfig.app.json,1,2026-06-03 22:34:39,True,/home/braudesdev/.config/Code/User/History/-33cc98b6/q8fc.json
